uuid,commodity_name,country,market,price_type,unit
af58fbb8-a0b7-4756-a24a-47305b3086b8,Eggs,Argentina,Greater Buenos Aires,RETAIL,Dozen
b673de24-6c39-466c-94dc-cb3273b0e3a6,Wheat,Argentina,Rosario,WHOLESALE,tonne
b752b92a-74af-4b07-af0e-948c556f036a,Wheat,Argentina,Córdoba,WHOLESALE,tonne
ba5969bf-4719-4def-9c40-844404b30eec,Pasta,Argentina,Noreste,RETAIL,500 gms
bd45a83b-4e2d-43dd-8fbd-ee7081d49ae1,Sugar,Argentina,Greater Buenos Aires,RETAIL,Kg
bd7f97db-0568-43c9-b8cb-5918d1dce917,Sunflower oil,Argentina,Greater Buenos Aires,RETAIL,1.5 Liter
bf96c83a-89d4-4d07-ad04-77fad3c57481,Potatoes,Argentina,Pampeana,RETAIL,Kg
c3a86d33-3ab7-456b-9817-c3583a575ca0,Chicken (whole),Argentina,Patagonia,RETAIL,Kg
c7c10890-d127-4c2f-a852-6e8bf696724b,Maize (yellow),Argentina,Rosario,WHOLESALE,tonne
c7db8469-56e4-4680-a40d-49fce6528a89,Chicken (whole),Argentina,Cuyo,RETAIL,Kg
c9d158f3-0052-4d07-ba81-7577ce5b8293,Sunflower oil,Argentina,Pampeana,RETAIL,1.5 Liter
ca88fc97-8f79-4c25-a49f-4c7da22e7ee8,Potatoes,Argentina,Greater Buenos Aires,RETAIL,Kg
cab92123-9f6f-48c6-a245-ec6fcad47cf7,Chicken (whole),Argentina,Noreste,RETAIL,Kg
cd00cd54-a156-42f3-b686-bf264cd45376,Wheat (flour),Argentina,Cuyo,RETAIL,Kg
d5edf930-f0ab-4a81-beee-67f18ea46a56,Beef meat,Argentina,Noreste,RETAIL,Kg
d5f7de11-742f-42a6-ab2b-917e0fb1af4c,Eggs,Argentina,Cuyo,RETAIL,Dozen
dc6aa8b2-d7c0-44ba-9441-846e4e3bcd01,Sugar,Argentina,Pampeana,RETAIL,Kg
dd8946bb-0a15-4ba2-af7c-2eff3f1b3b75,Milk (fresh),Argentina,Pampeana,RETAIL,Liter
e37be7a3-88c2-4c3b-814d-8e2bec7781e5,Pasta,Argentina,Greater Buenos Aires,RETAIL,500 gms
e56e395f-b37d-47be-9cfa-62f803f11ec6,Chicken (whole),Argentina,Greater Buenos Aires,RETAIL,Kg
e7a9402a-fcf6-41b3-a875-48ebee8bf594,Eggs,Argentina,Noroeste,RETAIL,Dozen
e8261e02-2af1-4333-afcc-148676a4df27,Milk (fresh),Argentina,Noroeste,RETAIL,Liter
f1289dc9-6afb-4993-bd87-64d3e8a00cb0,Milk (fresh),Argentina,Greater Buenos Aires,RETAIL,Liter
f2ef3cc8-dbe4-4095-807e-93629abf0c0e,Chicken (whole),Argentina,Pampeana,RETAIL,Kg
3beeeab4-2bad-4c56-a50f-16eeadab281b,"Wheat (flour, first grade)",Armenia,National Average,RETAIL,Kg
410784f8-bc02-4374-815c-1ac696a960df,Bread (first grade flour),Armenia,National Average,RETAIL,Kg
79e6690d-688c-4ddb-9398-61ffe0d7f60e,Bread (high grade flour),Armenia,National Average,RETAIL,Kg
8cbb9fca-4267-46ea-9847-4962f3ebe56f,"Wheat (flour, high grade)",Armenia,National Average,RETAIL,Kg
bf0a9175-f241-423a-8729-c7414ebbcaac,Potatoes,Armenia,National Average,RETAIL,Kg
0e0ff7da-968c-416b-b6d0-9a30f2a66c0c,Chicken (whole),Austria,National Average,WHOLESALE,100 kg
4f292cfa-80e4-4d98-9d9e-31baee829eee,Eggs,Austria,National Average,WHOLESALE,100 kg
602552c6-396e-4040-9f0f-676a2a432ea9,Wheat (bread making quality),Austria,National Average,WHOLESALE,tonne
967d0f95-7e5b-4f65-8b0d-3128a9b4cc52,Milk (raw),Austria,National Average,WHOLESALE,100 kg
b31bff46-825b-40c8-a7c6-24f618285aa1,Wheat (durum),Austria,National Average,WHOLESALE,tonne
